dataset,json_file,image_file,shape,image_path
GeoQA,0.json,0.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\0.png
GeoQA,1.json,1.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1.png
GeoQA,100.json,100.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\100.png
GeoQA,1000.json,1000.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1000.png
GeoQA,1001.json,1001.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1001.png
GeoQA,1002.json,1002.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1002.png
GeoQA,1003.json,1003.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1003.png
GeoQA,1004.json,1004.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1004.png
GeoQA,1005.json,1005.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1005.png
GeoQA,1006.json,1006.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1006.png
GeoQA,1007.json,1007.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1007.png
GeoQA,1008.json,1008.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1008.png
GeoQA,1009.json,1009.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1009.png
GeoQA,101.json,101.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\101.png
GeoQA,1010.json,1010.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1010.png
GeoQA,1011.json,1011.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1011.png
GeoQA,1014.json,1014.png,circle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1014.png
GeoQA,1016.json,1016.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1016.png
GeoQA,1017.json,1017.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1017.png
GeoQA,1019.json,1019.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1019.png
GeoQA,102.json,102.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\102.png
GeoQA,1024.json,1024.png,triangle,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1024.png
GeoQA,1025.json,1025.png,unknown,C:\Users\ashut\Downloads\GeoQA\GeoQA3\image\1025.png
