dataset,folder_name,shape,image_folder,image_path
train,0,unknown,0,C:\Users\ashut\Downloads\Geometry3K\train\0
train,1,parallelogram,1,C:\Users\ashut\Downloads\Geometry3K\train\1
train,10,unknown,10,C:\Users\ashut\Downloads\Geometry3K\train\10
train,100,unknown,100,C:\Users\ashut\Downloads\Geometry3K\train\100
train,1000,unknown,1000,C:\Users\ashut\Downloads\Geometry3K\train\1000
train,1001,unknown,1001,C:\Users\ashut\Downloads\Geometry3K\train\1001
train,1002,circle,1002,C:\Users\ashut\Downloads\Geometry3K\train\1002
train,1003,unknown,1003,C:\Users\ashut\Downloads\Geometry3K\train\1003
train,1004,unknown,1004,C:\Users\ashut\Downloads\Geometry3K\train\1004
train,1005,unknown,1005,C:\Users\ashut\Downloads\Geometry3K\train\1005
train,1006,unknown,1006,C:\Users\ashut\Downloads\Geometry3K\train\1006
train,1007,unknown,1007,C:\Users\ashut\Downloads\Geometry3K\train\1007
train,1008,triangle,1008,C:\Users\ashut\Downloads\Geometry3K\train\1008
train,1009,unknown,1009,C:\Users\ashut\Downloads\Geometry3K\train\1009
train,101,unknown,101,C:\Users\ashut\Downloads\Geometry3K\train\101
train,1010,unknown,1010,C:\Users\ashut\Downloads\Geometry3K\train\1010
train,1011,unknown,1011,C:\Users\ashut\Downloads\Geometry3K\train\1011
train,1012,unknown,1012,C:\Users\ashut\Downloads\Geometry3K\train\1012
train,1013,triangle,1013,C:\Users\ashut\Downloads\Geometry3K\train\1013
train,1014,unknown,1014,C:\Users\ashut\Downloads\Geometry3K\train\1014
train,1015,unknown,1015,C:\Users\ashut\Downloads\Geometry3K\train\1015
train,1016,unknown,1016,C:\Users\ashut\Downloads\Geometry3K\train\1016
train,1017,unknown,1017,C:\Users\ashut\Downloads\Geometry3K\train\1017
train,1018,unknown,1018,C:\Users\ashut\Downloads\Geometry3K\train\1018
train,1019,triangle,1019,C:\Users\ashut\Downloads\Geometry3K\train\1019
train,102,unknown,102,C:\Users\ashut\Downloads\Geometry3K\train\102
train,1020,unknown,1020,C:\Users\ashut\Downloads\Geometry3K\train\1020
train,1021,unknown,1021,C:\Users\ashut\Downloads\Geometry3K\train\1021
train,1022,unknown,1022,C:\Users\ashut\Downloads\Geometry3K\train\1022
train,1023,rectangle,1023,C:\Users\ashut\Downloads\Geometry3K\train\1023
train,1024,unknown,1024,C:\Users\ashut\Downloads\Geometry3K\train\1024
train,1025,triangle,1025,C:\Users\ashut\Downloads\Geometry3K\train\1025
train,1026,unknown,1026,C:\Users\ashut\Downloads\Geometry3K\train\1026
train,1027,unknown,1027,C:\Users\ashut\Downloads\Geometry3K\train\1027
train,1028,unknown,1028,C:\Users\ashut\Downloads\Geometry3K\train\1028
train,1029,unknown,1029,C:\Users\ashut\Downloads\Geometry3K\train\1029
train,103,unknown,103,C:\Users\ashut\Downloads\Geometry3K\train\103
train,1030,unknown,1030,C:\Users\ashut\Downloads\Geometry3K\train\1030
train,1031,unknown,1031,C:\Users\ashut\Downloads\Geometry3K\train\1031
train,1032,unknown,1032,C:\Users\ashut\Downloads\Geometry3K\train\1032
train,1033,parallelogram,1033,C:\Users\ashut\Downloads\Geometry3K\train\1033
train,1034,unknown,1034,C:\Users\ashut\Downloads\Geometry3K\train\1034
train,1035,parallelogram,1035,C:\Users\ashut\Downloads\Geometry3K\train\1035
train,1036,unknown,1036,C:\Users\ashut\Downloads\Geometry3K\train\1036
train,1037,unknown,1037,C:\Users\ashut\Downloads\Geometry3K\train\1037
train,1038,unknown,1038,C:\Users\ashut\Downloads\Geometry3K\train\1038
train,1039,unknown,1039,C:\Users\ashut\Downloads\Geometry3K\train\1039
train,104,unknown,104,C:\Users\ashut\Downloads\Geometry3K\train\104
train,1040,unknown,1040,C:\Users\ashut\Downloads\Geometry3K\train\1040
train,1041,unknown,1041,C:\Users\ashut\Downloads\Geometry3K\train\1041
train,1042,parallelogram,1042,C:\Users\ashut\Downloads\Geometry3K\train\1042
train,1043,unknown,1043,C:\Users\ashut\Downloads\Geometry3K\train\1043
train,1044,unknown,1044,C:\Users\ashut\Downloads\Geometry3K\train\1044
train,1045,unknown,1045,C:\Users\ashut\Downloads\Geometry3K\train\1045
train,1046,unknown,1046,C:\Users\ashut\Downloads\Geometry3K\train\1046
train,1047,unknown,1047,C:\Users\ashut\Downloads\Geometry3K\train\1047
